SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,latitude,longitude,data_longtime,LOCATION_ELEV,IGBP,MAT,MAP
DK-Eng,Enghave,CC-BY-4.0,,55.6905,12.1918,4,10,GRA,8,613
DK-Fou,Foulum,CC-BY-4.0,,56.4842,9.5872,1,51,CRO,8,
DK-Sor,Soroe,CC-BY-4.0,,55.4859,11.6446,19,40,DBF,8.2,660
ES-Amo,Amoladeras,CC-BY-4.0,,36.8336,-2.2523,6,58,OSH,,0
ES-LgS,Laguna Seca,CC-BY-4.0,,37.0979,-2.9658,3,2267,OSH,,
ES-LJu,Llano de los Juanes,CC-BY-4.0,,36.9266,-2.7521,10,1600,OSH,16,400
ES-Ln2,Lanjaron-Salvage logging,CC-BY-4.0,,36.9695,-3.4758,1,2249,OSH,,
FI-Hyy,Hyytiala,CC-BY-4.0,CC-BY-4.0,61.8474,24.2948,19,181,ENF,3.8,709
FI-Jok,Jokioinen,CC-BY-4.0,,60.8986,23.5134,4,109,CRO,4.6,627
FI-Let,Lettosuo,CC-BY-4.0,,60.6418,23.9595,4,111,ENF,4.6,627
FI-Lom,Lompolojankka,CC-BY-4.0,CC-BY-4.0,67.9972,24.2092,3,274,WET,-1.4,484
FI-Si2,Siikaneva-2 Bog,,CC-BY-4.0,61.8372,24.1967,5,160,WET,3.5,701
FI-Sii,Siikaneva,,CC-BY-4.0,61.8327,24.1928,2,160,GRA,3.5,701
FI-Sod,Sodankyla,CC-BY-4.0,,67.3624,26.6386,14,180,ENF,-1,500
FR-Fon,Fontainebleau-Barbeau,CC-BY-4.0,,48.4764,2.7801,10,103,DBF,10.2,720
FR-Gri,Grignon,CC-BY-4.0,,48.8442,1.9519,11,125,CRO,12,650
FR-LBr,Le Bray,CC-BY-4.0,,44.7171,-0.7693,13,61,ENF,13.6,900
FR-LGt,La Guette,,CC-BY-4.0,47.3229,2.2841,2,,WET,,
FR-Pue,Puechabon,CC-BY-4.0,,43.7413,3.5957,15,270,EBF,13.5,883
GF-Guy,Guyaflux (French Guiana),CC-BY-4.0,,5.2788,-52.9249,11,48,EBF,25.7,3041
GH-Ank,Ankasa,CC-BY-4.0,,5.2685,-2.6942,4,124,EBF,26,1900
GL-NuF,Nuuk Fen,CC-BY-4.0,,64.1308,-51.3861,7,50,WET,-1.4,750
GL-ZaF,Zackenberg Fen,CC-BY-4.0,,74.4814,-20.5545,4,38,WET,-9,211
GL-ZaH,Zackenberg Heath,CC-BY-4.0,,74.4733,-20.5503,15,38,GRA,-9,211
HK-MPM,Mai Po Mangrove,,CC-BY-4.0,22.4982,114.0292,3,-1,EBF,23.3,1400
ID-Pag,Palangkaraya undrained forest,,CC-BY-4.0,-2.32,113.9,2,30,EBF,26.2,2546
IT-BCi,Borgo Cioffi,CC-BY-4.0,CC-BY-4.0,40.5237,14.9574,11,20,CRO,18,600
IT-CA1,Castel d'Asso1,CC-BY-4.0,,42.3804,12.0266,4,200,DBF,14,766
IT-CA2,Castel d'Asso2,CC-BY-4.0,,42.3772,12.026,4,200,CRO,14,766
IT-CA3,Castel d'Asso3,CC-BY-4.0,,42.38,12.0222,4,197,DBF,14,766
IT-Cas,Castellaro,,CC-BY-4.0,45.07,8.7175,1,89,CRO,11.9,
IT-Col,Collelongo,CC-BY-4.0,,41.8494,13.5881,19,1560,DBF,6.3,1180
IT-Cp2,Castelporziano2,CC-BY-4.0,,41.7043,12.3573,3,19,EBF,15.2,805
IT-Cpz,Castelporziano,CC-BY-4.0,,41.7052,12.3761,13,68,EBF,15.6,780
IT-Isp,Ispra ABC-IS,CC-BY-4.0,,45.8126,8.6336,2,210,DBF,12.2,1300
IT-La2,Lavarone2,CC-BY-4.0,,45.9542,11.2853,3,1350,ENF,7.2,1150
IT-Lav,Lavarone,CC-BY-4.0,,45.9562,11.2813,12,1353,ENF,7.8,1291
IT-MBo,Monte Bondone,CC-BY-4.0,,46.0147,11.0458,11,1550,GRA,5.1,1214
IT-Noe,Arca di Noe - Le Prigionette,CC-BY-4.0,,40.6062,8.1517,11,25,CSH,15.9,588
IT-PT1,Parco Ticino forest,CC-BY-4.0,,45.2009,9.061,3,60,DBF,12.7,984
IT-Ren,Renon,CC-BY-4.0,,46.5869,11.4337,16,1730,ENF,4.7,809.3
IT-Ro1,Roccarespampani 1,CC-BY-4.0,,42.4081,11.93,9,235,DBF,15.15,876.2
IT-Ro2,Roccarespampani 2,CC-BY-4.0,,42.3903,11.9209,11,160,DBF,15.15,876.2
IT-SR2,San Rossore 2,CC-BY-4.0,,43.732,10.2909,2,4,ENF,14.2,920
IT-SRo,San Rossore,CC-BY-4.0,,43.7279,10.2844,14,6,ENF,14.2,920
IT-Tor,Torgnon,CC-BY-4.0,,45.8444,7.5781,7,2160,GRA,2.9,920
JP-BBY,Bibai bog,,CC-BY-4.0,43.323,141.8107,4,,WET,,
JP-MBF,Moshiri Birch Forest Site,CC-BY-4.0,,44.3869,142.3186,3,,DBF,,
JP-Mse,Mase rice paddy field,,CC-BY-4.0,36.0539,140.0269,1,,CRO,,
JP-SMF,Seto Mixed Forest Site,CC-BY-4.0,,35.2617,137.0788,5,,MF,,
JP-SwL,Suwa Lake,,CC-BY-4.0,36.0466,138.1084,1,,WAT,,
KR-CRK,Cheorwon Rice paddy,,CC-BY-4.0,38.2013,127.2506,4,182,CRO,11.2,1180.9
MY-MLM,Maludam National Park,,CC-BY-4.0,1.4536,111.1495,2,,EBF,,
MY-PSO,Pasoh Forest Reserve (PSO),CC-BY-4.0,,2.973,102.3062,7,,EBF,,
